university,enrollment,first.gen,year,num.courses,faculty,race,other.race,alcohol,social.network,sleep,enough.sleep,exercise,diet,GPA.range,gender,age,disability,PSS_1,PSS_2,PSS_3,PSS_4,PSS_5,PSS_6,PSS_7,PSS_8,PSS_9,PSS_10,RSES_1,RSES_2,RSES_3,RSES_4,RSES_5,RSES_6,RSES_7,RSES_8,RSES_9,RSES_10,GSE_1,GSE_2,GSE_3,GSE_4,GSE_5,GSE_6,GSE_7,GSE_8,GSE_9,GSE_10,LOTR_1,LOTR_3,LOTR_4,LOTR_7,LOTR_9,LOTR_10,SWLS_1,SWLS_2,SWLS_3,SWLS_4,SWLS_5,GSQA_1,GSQA_2,GSQA_3,GSQA_4,GSQA_5,GSQA_6,GSQA_7,GSQB_1,GSQB_2,GSQB_3,GSQB_4,GSQB_5,GSQB_6,GSQB_7,GSQC_1,GSQC_2,GSQC_3,GSQC_4,GSQC_5,GSQC_6,GSQC_7,PSS.total,RSES.total,GSE.total,LOTR.total,SWLS.total,GHQ.total,PSS.help,PSS.eff,GHQa.total,QHQb.total,GHQc.total,replicate,living,covid.test,phys.class,online.class
1,1,2,2,6,3,1,,2,4,3,1,2,3,4,female,19,2,1,1,1,1,2,3,2,3,2,1,1,3,0,2,1,3,2,2,2,1,3,1,2,2,3,2,1,3,2,1,3,1,2,4,3,3,3,4,3,3,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,17,17,20,16,24,10,8,9,4,0,6,a,,,,
1,1,2,1,6,2,"6,8",Latin,1,3,3,2,1,2,,female,18,2,2,3,4,1,2,2,2,3,2,3,2,1,0,1,0,1,1,0,0,0,2,2,2,3,3,2,4,3,3,2,0,0,0,0,0,0,6,3,6,6,7,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,24,6,26,0,12,16,8,16,3,7,6,a,,,,
1,1,2,1,6,3,1,,1,2,3,1,1,2,,female,18,2,3,2,4,3,2,4,3,2,4,4,3,3,2,2,2,2,2,0,0,0,3,2,3,1,2,4,1,2,2,1,0,2,0,3,2,2,6,6,6,3,4,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,31,16,21,9,15,15,10,21,5,7,3,a,,,,
1,1,2,1,6,3,6,,2,3,3,1,1,3,,female,19,2,0,1,3,1,2,3,1,3,2,3,3,3,2,3,1,3,3,1,2,1,3,3,3,3,3,3,3,3,3,3,1,2,3,2,3,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,19,22,30,13,30,4,7,12,0,1,3,a,,,,
1,1,2,1,6,3,6,,2,4,2,1,2,3,,female,18,2,2,1,2,1,1,2,3,3,0,0,4,4,2,3,2,3,3,2,2,2,4,2,3,3,3,3,4,3,3,3,2,2,3,2,1,3,2,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,27,31,13,28,0,8,7,0,0,0,a,,,,
1,1,2,1,6,3,4,,1,3,2,2,1,2,,female,18,2,4,3,4,1,2,3,2,3,4,1,4,4,1,3,1,3,2,1,1,1,3,3,3,3,3,3,3,2,3,3,3,1,2,2,1,4,5,3,3,3,5,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,27,21,29,13,21,16,8,19,3,7,6,a,,,,
1,1,2,1,6,6,6,,2,3,3,1,2,2,,female,18,2,2,2,3,1,2,2,1,2,2,2,3,3,2,3,2,3,3,2,2,1,3,3,3,4,4,3,3,3,3,3,3,0,4,1,1,2,2,3,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,19,24,32,11,28,5,6,13,0,0,5,a,,,,
1,1,2,1,6,2,6,,1,4,3,1,2,3,,female,18,2,1,2,3,2,2,1,2,1,2,1,3,3,2,4,2,3,2,1,1,1,3,2,3,3,3,3,3,3,3,4,3,3,3,3,2,3,3,2,2,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,17,22,30,17,29,5,7,10,1,1,3,a,,,,
1,1,2,1,7,6,6,,2,4,2,2,1,1,,female,18,2,3,4,4,2,2,3,2,3,2,4,3,3,2,3,1,3,3,3,2,3,3,3,4,4,4,3,2,2,3,3,3,1,3,2,2,1,2,2,2,2,2,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,29,26,31,12,30,16,9,20,4,6,6,a,,,,
1,2,2,1,7,6,6,,1,3,3,1,1,2,,female,19,2,2,2,3,1,1,3,1,2,1,2,4,4,3,3,3,3,3,1,2,1,3,3,3,3,3,3,3,3,3,3,1,0,1,3,3,3,1,2,2,1,3,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,18,27,30,11,31,8,5,13,2,4,2,a,,,,
